,name,company,year,Price,kms_driven,fuel_type
69,Chevrolet Spark LS,Chevrolet,2010,"1,10,000",41000,Petrol
70,Renault Duster 110PS,Renault,2012,"5,01,000",35000,Diesel
71,Honda City,Honda,2015,"4,48,999",54000,Petrol
72,Mini Cooper S,Mini,2013,"18,91,111",13000,Petrol
73,Datsun Redi GO,Datsun,2017,"2,35,000",16000,Petrol
74,Skoda Fabia 1.2L,Skoda,2011,"1,59,500",38200,Diesel
75,Honda Amaze,Honda,2015,"3,44,999",22000,Petrol
76,Honda Amaze,Honda,2015,"3,44,999",22000,Petrol
77,Renault Duster,Renault,2014,"4,49,999",50000,Diesel
78,Mini Cooper S,Mini,2013,"18,91,111",13500,Petrol
79,Mahindra Scorpio S4,Mahindra,2015,"8,65,000",30000,Diesel
80,Mahindra Scorpio VLX,Mahindra,2014,"6,99,000",50000,Diesel
81,Mahindra Quanto C8,Mahindra,2013,"3,75,000",20000,Diesel
82,Ford EcoSport,Ford,2017,"4,89,999",39000,Petrol
83,Honda Brio,Honda,2012,"2,24,999",30000,Petrol
84,Volkswagen Vento Highline,Volkswagen,2019,"12,00,000",3600,Diesel
85,Hyundai i20 Magna,Hyundai,2009,"1,95,000",32000,Petrol
86,Toyota Corolla Altis,Toyota,2010,"3,51,000",38000,Diesel
87,Hyundai Verna Transform,Hyundai,2008,"1,60,000",45000,Petrol
88,Toyota Corolla Altis,Toyota,2009,"2,40,000",35000,Petrol
89,Honda City 1.5,Honda,2005,"90,000",50000,Petrol
90,Hyundai Elite i20,Hyundai,2014,"4,15,000",32000,Petrol
91,Skoda Fabia 1.2L,Skoda,2011,"1,55,000",45863,Diesel
92,BMW 3 Series,BMW,2011,"6,00,000",60500,Petrol
93,Maruti Suzuki A,Maruti,2011,"1,89,500",12500,Petrol
94,Toyota Etios GD,Toyota,2013,"3,50,000",60000,Diesel
95,Ford Figo Diesel,Ford,2012,"2,10,000",35000,Diesel
96,Maruti Suzuki Swift,Maruti,2014,"3,90,000",35000,Petrol
97,Chevrolet Beat LT,Chevrolet,2012,"1,35,000",45000,Diesel
98,BMW 7 Series,BMW,2009,"16,00,000",35000,Petrol
99,Mahindra XUV500 W8,Mahindra,2013,"7,01,000",38000,Diesel
100,Hyundai i10 Magna,Hyundai,2014,"2,65,000",18000,Petrol
101,Hyundai Verna Fluidic,Hyundai,2015,"5,25,000",35000,Diesel
102,Maruti Suzuki Swift,Maruti,2013,"3,72,000",13349,Petrol
103,Maruti Suzuki Ertiga,Maruti,2016,"6,35,000",29000,Petrol
104,Ford EcoSport Titanium,Ford,2014,"5,50,000",44000,Diesel
105,Maruti Suzuki Ertiga,Maruti,2016,"5,75,000",29000,Petrol
106,Maruti Suzuki Ertiga,Maruti,2013,"4,85,000",42000,Diesel
107,Maruti Suzuki Alto,Maruti,2012,"1,55,000",14000,Petrol
108,Hyundai Grand i10,Hyundai,2014,"3,45,000",49000,Diesel
109,Honda Amaze 1.2,Honda,2014,"3,25,000",42000,Petrol
110,Hyundai i20 Asta,Hyundai,2012,"3,29,500",36200,Diesel
111,Ford Figo Diesel,Ford,2014,"1,95,000",50000,Diesel
112,Maruti Suzuki Eeco,Maruti,2015,"2,51,111",55000,Petrol
113,Maruti Suzuki Ertiga,Maruti,2014,"5,69,999",45000,Petrol
114,Maruti Suzuki Esteem,Maruti,2007,"69,999",51000,Petrol
115,Maruti Suzuki Ritz,Maruti,2014,"2,99,999",19000,Petrol
116,Maruti Suzuki Dzire,Maruti,2009,"2,20,000",46000,Petrol
117,Maruti Suzuki Ritz,Maruti,2013,"3,99,999",33000,Diesel
118,Maruti Suzuki Swift,Maruti,2013,"3,72,000",13349,Petrol
119,Maruti Suzuki Dzire,Maruti,2015,"4,50,000",104000,Diesel
120,Toyota Etios Liva,Toyota,2014,"2,70,000",55000,Petrol
121,Hyundai i20 Sportz,Hyundai,2011,"3,50,000",33333,Diesel
122,Chevrolet Spark,Chevrolet,2012,"1,58,400",33600,Petrol
123,Maruti Suzuki Alto,Maruti,2017,"3,50,000",5600,Petrol
124,Nissan Micra XV,Nissan,2011,"1,79,000",41000,Petrol
125,Maruti Suzuki Swift,Maruti,2007,"1,25,000",70000,Petrol
126,Maruti Suzuki Alto,Maruti,2018,"2,00,000",7500,Petrol
127,Honda Amaze 1.5,Honda,2013,"2,99,000",45000,Diesel
128,Maruti Suzuki Alto,Maruti,2015,"2,20,000",38000,Petrol
129,Chevrolet Beat,Chevrolet,2015,"1,50,000",30000,Petrol
130,Honda City 1.5,Honda,2010,"2,85,000",35000,Petrol
131,Ford EcoSport Trend,Ford,2016,"8,30,000",24330,Diesel
132,Hyundai i20 Asta,Hyundai,2009,"2,10,000",65480,Petrol
133,Maruti Suzuki Swift,Maruti,2013,"3,40,000",41000,Petrol
134,Tata Indica V2,Tata,2006,"90,000",20000,Petrol
135,Maruti Suzuki Alto,Maruti,2018,Ask For Price,28028,Petrol
136,Hindustan Motors Ambassador,Hindustan,2000,"70,000",200000,Diesel
137,Toyota Corolla Altis,Toyota,2010,"2,89,999",70000,Petrol
138,Toyota Corolla Altis,Toyota,2012,"3,49,999",59000,Petrol
139,Toyota Innova 2.5,Toyota,2012,"8,49,999",99000,Diesel
140,Volkswagen Jetta Highline,Volkswagen,2014,"7,49,999",46000,Diesel
141,Volkswagen Polo Comfortline,Volkswagen,2015,"3,99,999",2800,Petrol
142,Volkswagen Polo,Volkswagen,2014,"2,74,999",32000,Petrol
143,Mahindra Scorpio,Mahindra,2015,"9,84,999",22000,Diesel
144,Renault Duster,Renault,2014,"4,49,999",50000,Diesel
145,Honda Amaze,Honda,2015,"3,44,999",22000,Petrol
146,Nissan Sunny,Nissan,2012,"2,24,999",45000,Petrol
147,Hyundai Elite i20,Hyundai,2018,"5,99,999",21000,Petrol
148,Renault Kwid,Renault,2016,"2,44,999",11000,Petrol
149,Renault Duster,Renault,2013,"3,99,999",41000,Diesel
150,Ford EcoSport,Ford,2017,"4,89,999",39000,Petrol
151,Renault Duster,Renault,2014,"4,74,999",50000,Diesel
152,Mahindra Scorpio VLX,Mahindra,2011,"4,99,999",66000,Diesel
153,Maruti Suzuki Alto,Maruti,2018,"3,10,000",3000,Petrol
154,Chevrolet Spark LT,Chevrolet,2010,"85,000",45000,Petrol
155,Datsun Redi GO,Datsun,2016,"2,45,000",7000,Petrol
156,Maruti Suzuki Swift,Maruti,2010,"1,89,500",38500,Diesel
157,Fiat Punto Emotion,Fiat,2012,"1,69,500",37200,Diesel
158,Maruti Suzuki Swift,Maruti,2010,"1,59,500",43200,Diesel
159,Toyota Etios GD,Toyota,2013,"2,75,000",24800,Petrol
160,Hyundai i20 Sportz,Hyundai,2014,"3,70,000",60000,Diesel
161,Hyundai i10 Sportz,Hyundai,2010,"1,68,000",45872,Petrol
162,Chevrolet Beat LT,Chevrolet,2011,"1,50,000",40000,Diesel
163,Chevrolet Beat LS,Chevrolet,2011,"1,45,000",45000,Diesel
164,Chevrolet Beat LT,Chevrolet,2012,"98,500",38000,Diesel
165,Mahindra Scorpio VLX,Mahindra,2014,"6,99,000",50000,Diesel
166,Tata Indigo CS,Tata,2011,"85,000",11400,Diesel
167,Toyota Corolla Altis,Toyota,2015,"5,75,000",42000,Petrol
168,Honda City 1.5,Honda,2014,"5,49,000",39000,Petrol
169,Maruti Suzuki Swift,Maruti,2011,"2,09,000",47000,Diesel
170,Hyundai Eon Era,Hyundai,2013,"1,85,000",27000,Petrol
171,Mahindra Scorpio S10,Mahindra,2015,"9,00,000",97200,Diesel
172,Mahindra XUV500,Mahindra,2014,"6,99,999",52000,Diesel
173,Honda Brio,Honda,2012,"2,24,999",30000,Petrol
174,Ford Fiesta,Ford,2011,"2,74,999",55000,Diesel
175,Honda Amaze,Honda,2013,"2,84,999",46000,Diesel
176,Honda City,Honda,2015,"5,99,999",30000,Diesel
177,Maruti Suzuki Wagon,Maruti,2012,"1,99,999",44000,Petrol
178,Honda City,Honda,2014,"5,44,999",45000,Diesel
179,Hyundai i20,Hyundai,2009,"1,99,000",31000,Petrol
180,Tata Indigo eCS,Tata,2016,"3,20,000",175430,Diesel
181,Hyundai Fluidic Verna,Hyundai,2015,"5,40,000",38000,Diesel
182,Mahindra Quanto C8,Mahindra,2013,"3,40,000",37000,Diesel
183,Fiat Petra ELX,Fiat,2008,"75,000",65000,Petrol
184,Skoda Fabia 1.2L,Skoda,2011,"1,59,500",38200,Diesel
185,Mini Cooper S,Mini,2013,"18,91,111",13000,Petrol
186,Hyundai Santro Xing,Hyundai,2005,"49,000",7500,Petrol
187,Maruti Suzuki Ciaz,Maruti,2016,"7,00,000",3350,Petrol
188,Maruti Suzuki Zen,Maruti,2000,"55,000",60000,Petrol
189,Honda City,Honda,2015,"4,48,999",54000,Petrol
190,Hyundai Creta 1.6,Hyundai,2017,"8,95,000",32000,Petrol
191,Mahindra Scorpio SLX,Mahindra,2007,"3,55,000",75000,Diesel
192,Mahindra Scorpio SLE,Mahindra,2012,"5,65,000",62000,Diesel
193,Toyota Innova 2.5,Toyota,2006,"3,65,000",73000,Diesel
194,Maruti Suzuki Alto,Maruti,2011,"1,45,000",41000,Petrol
195,Maruti Suzuki Wagon,Maruti,2011,"2,10,000",35000,Petrol
196,Tata Nano Cx,Tata,2013,"40,000",2200,Petrol
197,Maruti Suzuki Alto,Maruti,2013,"1,25,000",39000,Petrol
198,Maruti Suzuki Wagon,Maruti,2009,"1,35,000",45000,Petrol
199,Maruti Suzuki Swift,Maruti,2006,"1,35,000",45000,Petrol
200,Tata Sumo Victa,Tata,2012,"2,85,000",65000,Diesel
201,Maruti Suzuki Wagon,Maruti,2010,"1,45,000",54870,Petrol
202,Maruti Suzuki Alto,Maruti,2010,"1,35,000",34580,Petrol
203,Volkswagen Passat Diesel,Volkswagen,2009,"4,50,000",97000,Diesel
204,Renault Scala RxL,Renault,2015,"3,75,000",25000,Diesel
205,Mahindra Quanto C8,Mahindra,2013,"3,75,000",20000,Diesel
206,Hyundai Grand i10,Hyundai,2014,"3,65,000",20000,Petrol
207,Hyundai i20 Active,Hyundai,2015,"5,00,000",18000,Petrol
208,Mahindra Xylo E4,Mahindra,2012,"4,00,000",35000,Diesel
209,Mahindra Jeep MM,Mahindra,2019,"3,90,000",60,Diesel
210,Renault Duster 110PS,Renault,2012,"5,01,000",35000,Diesel
211,Mahindra Bolero SLE,Mahindra,2013,"3,30,000",80200,Diesel
212,Force Motors Force,Force,2015,"5,80,000",3200,Diesel
213,Maruti Suzuki SX4,Maruti,2012,"2,65,000",46000,Diesel
214,Mahindra Jeep CL550,Mahindra,2019,"3,79,000",0000,Diesel
215,Maruti Suzuki Alto,Maruti,2015,"2,19,000",5000,Petrol
216,Mahindra Jeep CL550,Mahindra,2018,"3,85,000",588,Diesel
217,Toyota Etios,Toyota,2011,"2,75,000",36000,Diesel
218,Volkswagen Polo,Volkswagen,2015,"3,30,000",38000,Diesel
219,Honda City ZX,Honda,2008,"1,10,000",45000,Petrol
220,Maruti Suzuki Wagon,Maruti,2006,"80,000",71200,Petrol
221,Honda City VX,Honda,2016,"5,19,000",52000,Diesel
222,Mahindra Thar CRDe,Mahindra,2016,"7,30,000",29000,Diesel
223,Mitsubishi Pajero Sport,Mitsubishi,2015,"14,75,000",47000,Diesel
224,Audi A4 1.8,Audi,2009,"6,99,000",47000,Petrol
225,Mercedes Benz GLA,Mercedes,2015,"20,00,000",20000,Diesel
226,Land Rover Freelander,Land,2015,"21,00,000",30000,Diesel
227,Renault Kwid RXT,Renault,2017,"3,40,000",5000,Petrol
228,Tata Aria Pleasure,Tata,2014,"3,90,000",35000,Diesel
229,Mercedes Benz B,Mercedes,2014,"14,00,000",31000,Petrol
230,Datsun GO T,Datsun,2016,"2,45,000",7000,Petrol
231,Tata Indigo eCS,Tata,2016,"3,20,000",175430,Diesel
232,Tata Indigo eCS,Tata,2016,"3,20,000",175400,Diesel
233,Honda Jazz VX,Honda,2016,"4,50,000",41000,Petrol
234,Honda Amaze 1.2,Honda,2014,"3,11,000",33000,Petrol
235,Honda Amaze,Honda,2013,"2,84,999",46000,Diesel
236,Honda City,Honda,2012,"3,99,999",45000,Petrol
237,Honda City,Honda,2015,"5,99,999",39000,Diesel
238,Honda Amaze,Honda,2015,"3,44,999",22000,Petrol
239,Audi A4 1.8,Audi,2009,"6,99,000",47000,Petrol
240,Force Motors Force,Force,2015,"5,80,000",3200,Diesel
241,Mahindra Scorpio S4,Mahindra,2015,"8,55,000",30000,Diesel
242,Hyundai i20 Active,Hyundai,2015,"5,35,000",37000,Diesel
243,Mini Cooper S,Mini,2013,"18,91,111",13000,Petrol
244,Maruti Suzuki Ciaz,Maruti,2017,"6,99,000",14000,Petrol
245,Chevrolet Tavera Neo,Chevrolet,2013,"3,75,000",55000,Diesel
246,Honda Amaze,Honda,2013,"2,84,999",46000,Diesel
247,Hyundai Eon Sportz,Hyundai,2012,"1,78,000",30000,Petrol
248,Tata Sumo Gold,Tata,2013,"3,00,000",50000,Diesel
249,Maruti Suzuki Wagon,Maruti,2003,"90,000",45000,Petrol
250,Maruti Suzuki Esteem,Maruti,2006,"95,000",45000,Petrol
251,Maruti Suzuki Eeco,Maruti,2015,"2,55,000",9300,Petrol
252,Chevrolet Enjoy 1.4,Chevrolet,2013,"2,45,000",55000,Diesel
253,Hyundai i20 Asta,Hyundai,2012,"3,29,500",36200,Diesel
254,Ford Figo Diesel,Ford,2014,"1,95,000",50000,Diesel
255,Maruti Suzuki Eeco,Maruti,2015,"2,51,111",55000,Petrol
256,Maruti Suzuki Ertiga,Maruti,2014,"5,69,999",45000,Petrol
257,Maruti Suzuki Esteem,Maruti,2007,"69,999",51000,Petrol
258,Maruti Suzuki Ritz,Maruti,2014,"2,99,999",19000,Petrol
259,Maruti Suzuki Dzire,Maruti,2009,"2,20,000",46000,Petrol
260,Maruti Suzuki Ritz,Maruti,2013,"3,99,999",33000,Diesel
261,Maruti Suzuki SX4,Maruti,2010,"2,49,999",36000,Petrol
262,Maruti Suzuki Wagon,Maruti,2015,"2,89,999",22000,Petrol
263,Mini Cooper S,Mini,2013,"18,91,111",13500,Petrol
264,Nissan Terrano XL,Nissan,2015,"4,99,999",60000,Diesel
265,Renault Duster 85,Renault,2013,"4,89,999",27000,Diesel
266,Renault Duster 85,Renault,2014,"4,89,999",59000,Diesel
267,Renault Duster 85,Renault,2015,"5,49,999",19000,Diesel
268,Maruti Suzuki Dzire,Maruti,2013,"3,80,000",30000,Petrol
269,Renault Kwid RXT,Renault,2018,"3,25,000",15000,Petrol
270,Maruti Suzuki Maruti,Maruti,2003,"57,000",56758,Petrol
271,Renault Kwid 1.0,Renault,2018,"3,49,999",10000,Petrol
272,Renault Lodgy 85,Renault,2018,"6,89,999",20000,Diesel
273,Renault Scala RxL,Renault,2014,"3,49,999",49000,Diesel
274,Hyundai Grand i10,Hyundai,2014,"4,10,000",41000,Petrol
275,Maruti Suzuki Swift,Maruti,2011,"2,25,000",45000,Petrol
276,Chevrolet Beat LS,Chevrolet,2010,"1,20,000",43000,Petrol
277,Tata Indigo eCS,Tata,2016,"3,20,000",175430,Diesel
278,Hyundai Santro Xing,Hyundai,2000,"59,000",56450,Petrol
279,Hyundai Fluidic Verna,Hyundai,2015,"5,40,000",38000,Diesel
280,Chevrolet Beat LS,Chevrolet,2010,"80,000",56000,Petrol
281,Mahindra Quanto C8,Mahindra,2013,"3,40,000",37000,Diesel
282,Fiat Petra ELX,Fiat,2008,"75,000",65000,Petrol
283,Chevrolet Beat LS,Chevrolet,2015,"2,20,000",32700,Petrol
284,Skoda Fabia 1.2L,Skoda,2011,"1,59,500",38200,Diesel
285,Ford EcoSport Titanium,Ford,2016,"5,99,000",30000,Diesel
286,Hyundai Accent GLX,Hyundai,2006,"80,000",56000,Petrol
287,Maruti Suzuki Swift,Maruti,2010,Ask For Price,52000,Diesel
288,Mahindra TUV300 T4,Mahindra,2016,"6,75,000",9000,Diesel
289,Mini Cooper S,Mini,2013,"18,91,111",13000,Petrol
290,Mini Cooper S,Mini,2013,"18,91,111",13000,Petrol
291,Tata Indica V2,Tata,2008,"1,50,000",11000,Petrol
292,Mini Cooper S,Mini,2013,"18,91,111",13000,Petrol
293,Tata Indigo CS,Tata,2009,"72,500",46000,Diesel
294,Maruti Suzuki Swift,Maruti,2019,"6,10,000",73,Petrol
295,Mahindra Scorpio VLX,Mahindra,2004,"2,30,000",160000,Diesel
296,Tata Indica eV2,Tata,2017,Ask For Price,84000,Diesel
297,Honda Accord,Honda,2009,"1,75,000",58559,Petrol
298,Mahindra Scorpio S4,Mahindra,2015,"8,55,000",30000,Diesel
299,Chevrolet Tavera Neo,Chevrolet,2013,"3,75,000",55000,Diesel
300,Ford EcoSport Titanium,Ford,2014,"5,20,000",57000,Diesel
301,Maruti Suzuki Ertiga,Maruti,2015,"5,24,999",50000,Diesel
302,Honda Amaze,Honda,2014,"2,99,999",37000,Petrol
303,Maruti Suzuki Dzire,Maruti,2012,"2,99,999",40000,Petrol
304,Honda City,Honda,2011,"2,84,999",55000,Petrol
305,Mahindra Scorpio 2.6,Mahindra,2007,"2,20,000",170000,Diesel
306,Maruti Suzuki Dzire,Maruti,2014,"4,24,999",55000,Diesel
307,Honda City,Honda,2015,"6,44,999",39000,Petrol
308,Honda Mobilio,Honda,2014,"3,99,999",44000,Petrol
309,Toyota Corolla Altis,Toyota,2009,"1,99,999",65000,Petrol
310,Honda City,Honda,2014,"5,84,999",39000,Petrol
311,Skoda Laura,Skoda,2012,"3,49,999",44000,Diesel
312,Renault Duster,Renault,2015,"4,49,999",49000,Diesel
313,Maruti Suzuki Ertiga,Maruti,2018,"7,99,999",9000,Diesel
314,Maruti Suzuki Dzire,Maruti,2015,"4,44,999",45000,Diesel
315,Mahindra XUV500,Mahindra,2014,"6,49,999",47000,Diesel
316,Hyundai Verna Fluidic,Hyundai,2012,"4,44,999",40000,Diesel
317,Maruti Suzuki Vitara,Maruti,2016,"6,89,999",29000,Diesel
318,Maruti Suzuki Wagon,Maruti,2016,"3,44,999",15000,Petrol
319,Mahindra Scorpio,Mahindra,2015,"9,44,999",45000,Diesel
320,Honda Amaze,Honda,2014,"2,74,999",35000,Petrol
321,Mahindra XUV500,Mahindra,2013,"6,89,999",80000,Diesel
322,Mahindra Scorpio,Mahindra,2013,"5,74,999",68000,Diesel
323,Skoda Laura,Skoda,2013,"3,74,999",50000,Diesel
324,Volkswagen Polo,Volkswagen,2010,"1,99,999",60000,Diesel
325,Hyundai Elite i20,Hyundai,2016,"5,49,999",9000,Petrol
326,Tata Manza Aura,Tata,2012,"1,30,000",72000,Diesel
327,Chevrolet Sail UVA,Chevrolet,2013,"2,10,000",60000,Petrol
328,Renault Duster 110,Renault,2012,"5,01,000",38000,Diesel
329,Hyundai Verna Fluidic,Hyundai,2013,"4,01,000",45000,Diesel
330,Audi A4 2.0,Audi,2012,"13,50,000",40000,Diesel
331,Hyundai Elantra SX,Hyundai,2013,"6,00,000",20000,Petrol
332,Mahindra Scorpio VLX,Mahindra,2013,"6,10,000",35000,Diesel
333,Mahindra KUV100 K8,Mahindra,2016,"4,00,000",20000,Diesel
334,Renault Scala RxL,Renault,2015,"3,75,000",25000,Diesel
335,Mahindra Quanto C8,Mahindra,2013,"3,75,000",20000,Diesel
336,Hyundai Grand i10,Hyundai,2014,"3,65,000",20000,Petrol
337,Hyundai i20 Active,Hyundai,2015,"5,00,000",18000,Petrol
338,Mahindra Xylo E4,Mahindra,2012,"4,00,000",35000,Diesel
339,Hyundai Grand i10,Hyundai,2017,"5,24,999",6821,Petrol
340,Hyundai i20,Hyundai,2014,"4,49,999",23000,Petrol
341,Hyundai Eon,Hyundai,2014,"1,74,999",14000,Petrol
342,Hyundai i10,Hyundai,2012,"2,44,999",38000,Petrol
343,Hyundai i20 Active,Hyundai,2015,"5,74,999",35000,Diesel
344,Datsun Redi GO,Datsun,2017,"2,44,999",22000,Petrol
345,Toyota Etios Liva,Toyota,2011,"2,39,999",41000,Petrol
346,Hyundai Accent,Hyundai,2010,"99,999",45000,Petrol
347,Hyundai Verna,Hyundai,2014,"4,89,999",44000,Diesel
348,Maruti Suzuki Swift,Maruti,2013,"3,24,999",45000,Diesel
349,Toyota Fortuner,Toyota,2011,"10,74,999",52000,Diesel
350,Hyundai i10 Sportz,Hyundai,2012,"2,30,000",34000,Petrol
351,Mahindra Bolero Power,Mahindra,2018,"6,99,000",1800,Diesel
352,Mahindra XUV500,Mahindra,2015,"10,00,000",15000,Diesel
353,Honda City 1.5,Honda,2010,"2,40,000",400000,Petrol
354,Chevrolet Spark LT,Chevrolet,2009,"1,10,000",44000,Petrol
355,Mahindra Jeep MM,Mahindra,2019,"3,90,000",60,Diesel
356,Renault Duster 110PS,Renault,2012,"5,01,000",35000,Diesel
357,Mahindra XUV500,Mahindra,2016,"11,30,000",72000,Diesel
358,Tata Indigo eCS,Tata,2014,"2,50,000",40000,Diesel
359,Mahindra Bolero SLE,Mahindra,2013,"3,30,000",80200,Diesel
360,Force Motors Force,Force,2015,"5,80,000",3200,Diesel
361,Skoda Rapid Elegance,Skoda,2013,"3,40,000",48000,Diesel
362,Tata Vista Quadrajet,Tata,2011,"1,20,000",90000,Diesel
363,Maruti Suzuki Alto,Maruti,2015,"2,65,000",12000,Petrol
364,Maruti Suzuki SX4,Maruti,2012,"2,65,000",46000,Diesel
365,Maruti Suzuki Zen,Maruti,2003,"85,000",69900,Petrol
366,Mahindra Jeep CL550,Mahindra,2019,"3,79,000",0000,Diesel
367,Hyundai i10 Magna,Hyundai,2011,"1,75,000",45000,Petrol
368,Maruti Suzuki Alto,Maruti,2015,"2,19,000",5000,Petrol
369,Maruti Suzuki Swift,Maruti,2016,"3,50,000",166000,Diesel
370,Honda City ZX,Honda,2008,"1,49,000",42000,Petrol
371,Mahindra Jeep CL550,Mahindra,2018,"3,85,000",588,Diesel
372,Mahindra Jeep MM,Mahindra,2006,"4,25,000",122,Diesel
373,Chevrolet Beat Diesel,Chevrolet,2017,"1,50,000",62000,Diesel
374,Honda City 1.5,Honda,2010,"2,25,000",70000,Petrol
375,Hyundai Verna 1.4,Hyundai,2014,"3,75,000",36000,Petrol
376,Toyota Innova 2.5,Toyota,2012,"7,70,000",0,Diesel
377,Maruti Suzuki Alto,Maruti,2018,Ask For Price,24000,Petrol
378,Maruti Suzuki Maruti,Maruti,1995,"30,000",55000,Petrol
379,Toyota Etios,Toyota,2011,"2,75,000",36000,Diesel
380,Volkswagen Polo,Volkswagen,2015,"3,30,000",38000,Diesel
381,Maruti Suzuki Swift,Maruti,2014,"3,35,000",55000,Diesel
